epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7812.23,1.25052,2.21968,1.6098,0.53127,0.54239,0.51237,0.26855,1.44488,1.36569,1.73747,0.00033269,0.00033269,0.00033269
2,7979.86,1.21271,1.40921,1.5408,0.82426,0.4466,0.53911,0.29935,1.35109,1.52033,1.65667,0.000652836,0.000652836,0.000652836
3,8148.8,1.18984,1.19951,1.51507,0.65964,0.56362,0.60693,0.33393,1.40427,1.07799,1.71282,0.000959782,0.000959782,0.000959782
4,8318.1,1.16146,1.11003,1.49173,0.57438,0.63232,0.61266,0.2892,1.52684,0.99029,1.72247,0.0009406,0.0009406,0.0009406
5,8490.6,1.12285,1.03263,1.45926,0.60988,0.68987,0.66072,0.36639,1.47957,0.97695,1.64466,0.0009208,0.0009208,0.0009208
6,8658.3,1.09226,0.97091,1.43718,0.67031,0.6873,0.66367,0.3801,1.20983,0.77431,1.46578,0.000901,0.000901,0.000901
7,8824.38,1.07835,0.94503,1.42141,0.64239,0.67461,0.66022,0.38565,1.1335,0.74582,1.39733,0.0008812,0.0008812,0.0008812
8,8993.43,1.05482,0.89226,1.40864,0.59498,0.69317,0.67797,0.40788,1.18488,0.73007,1.41741,0.0008614,0.0008614,0.0008614
9,9161.98,1.04308,0.86454,1.39706,0.77093,0.71496,0.72091,0.42964,1.11715,0.71421,1.37096,0.0008416,0.0008416,0.0008416
10,9331.31,1.02763,0.85165,1.38579,0.7261,0.73679,0.74388,0.44245,1.12196,0.69733,1.36913,0.0008218,0.0008218,0.0008218
11,9497.47,1.01604,0.81886,1.37544,0.76255,0.75212,0.75035,0.45044,1.13871,0.67037,1.36921,0.000802,0.000802,0.000802
12,9663.96,1.00503,0.8075,1.3696,0.75555,0.74541,0.76209,0.46231,1.08025,0.66713,1.32599,0.0007822,0.0007822,0.0007822
13,9832.3,0.99356,0.78891,1.35557,0.71646,0.76798,0.74942,0.46936,1.07926,0.66734,1.33323,0.0007624,0.0007624,0.0007624
14,9999.79,0.99732,0.78624,1.35986,0.7045,0.79062,0.74235,0.45116,1.11689,0.65358,1.33749,0.0007426,0.0007426,0.0007426
15,10167.6,0.97407,0.76513,1.34438,0.78046,0.77695,0.78799,0.47375,1.08843,0.62894,1.31961,0.0007228,0.0007228,0.0007228
16,10335.2,0.96229,0.74643,1.33165,0.75201,0.75785,0.77605,0.47688,1.08367,0.62852,1.31287,0.000703,0.000703,0.000703
17,10502.9,0.9471,0.73702,1.32399,0.76574,0.7513,0.76425,0.47642,1.08848,0.63287,1.31461,0.0006832,0.0006832,0.0006832
18,10670.5,0.94492,0.72608,1.32275,0.78166,0.78623,0.77788,0.47828,1.05915,0.59561,1.29394,0.0006634,0.0006634,0.0006634
19,10838.2,0.94561,0.72117,1.32272,0.80349,0.75179,0.76493,0.47468,1.06136,0.62005,1.28922,0.0006436,0.0006436,0.0006436
20,11002.9,0.92389,0.70986,1.3131,0.72946,0.80184,0.76686,0.4792,1.02162,0.59352,1.25128,0.0006238,0.0006238,0.0006238
21,11167.7,0.93148,0.70126,1.31183,0.79683,0.79893,0.78811,0.4969,1.01858,0.58776,1.26053,0.000604,0.000604,0.000604
22,11333.8,0.91414,0.69092,1.29825,0.80476,0.78802,0.7878,0.49722,1.01075,0.58248,1.23713,0.0005842,0.0005842,0.0005842
23,11499,0.92393,0.67982,1.30467,0.77109,0.79968,0.78374,0.47191,1.05223,0.60569,1.27394,0.0005644,0.0005644,0.0005644
24,11666.4,0.91115,0.67892,1.29675,0.78993,0.80947,0.79454,0.48533,1.02794,0.57423,1.25315,0.0005446,0.0005446,0.0005446
25,11830.7,0.90463,0.66372,1.29128,0.77716,0.79255,0.79146,0.49366,1.02834,0.57686,1.2578,0.0005248,0.0005248,0.0005248
26,12001.1,0.902,0.6532,1.28847,0.78131,0.81789,0.80958,0.49321,1.01046,0.56496,1.24445,0.000505,0.000505,0.000505
27,12169.1,0.89497,0.65065,1.28642,0.783,0.8236,0.79833,0.49544,1.0113,0.5662,1.24262,0.0004852,0.0004852,0.0004852
28,12340.5,0.89519,0.65162,1.28299,0.83194,0.80337,0.80927,0.50209,1.01799,0.55154,1.23985,0.0004654,0.0004654,0.0004654
29,12519.2,0.87846,0.64095,1.27714,0.82468,0.83622,0.82319,0.5221,0.98071,0.54365,1.21917,0.0004456,0.0004456,0.0004456
30,12697.1,0.86789,0.62323,1.26809,0.82434,0.80852,0.79991,0.5004,1.0012,0.54893,1.22702,0.0004258,0.0004258,0.0004258
31,12874.2,0.86966,0.62325,1.27252,0.79869,0.81263,0.80001,0.50455,1.00654,0.55071,1.22736,0.000406,0.000406,0.000406
32,13048,0.86254,0.61705,1.26797,0.79236,0.80744,0.81031,0.49876,1.00948,0.54731,1.23055,0.0003862,0.0003862,0.0003862
33,13222.7,0.85712,0.60443,1.26104,0.79128,0.8211,0.7946,0.49644,0.98916,0.54027,1.21433,0.0003664,0.0003664,0.0003664
34,13397,0.85136,0.60296,1.26139,0.84327,0.8235,0.82308,0.5053,0.9965,0.54223,1.21724,0.0003466,0.0003466,0.0003466
35,13573.7,0.84825,0.59481,1.25687,0.82728,0.80967,0.81258,0.51543,0.99476,0.5373,1.21504,0.0003268,0.0003268,0.0003268
36,13763.1,0.83866,0.59116,1.24852,0.80307,0.84041,0.79981,0.50549,0.97874,0.53617,1.2074,0.000307,0.000307,0.000307
37,13977.1,0.84229,0.5866,1.24787,0.82702,0.83916,0.83144,0.52842,0.9872,0.53598,1.21282,0.0002872,0.0002872,0.0002872
38,14186.4,0.83338,0.57962,1.24449,0.85159,0.82581,0.82945,0.52609,0.96881,0.52605,1.20025,0.0002674,0.0002674,0.0002674
39,14401.3,0.83313,0.57694,1.24337,0.8261,0.8429,0.83827,0.52491,0.96777,0.52516,1.20193,0.0002476,0.0002476,0.0002476
40,14615.7,0.81975,0.56747,1.23375,0.82615,0.83685,0.81863,0.51631,0.977,0.52365,1.20853,0.0002278,0.0002278,0.0002278
41,14822.3,0.83498,0.4689,1.33861,0.8395,0.85434,0.8375,0.51624,0.97894,0.52096,1.21058,0.000208,0.000208,0.000208
42,15026.1,0.81579,0.447,1.3192,0.8407,0.84164,0.84068,0.52761,0.97961,0.51045,1.20912,0.0001882,0.0001882,0.0001882
43,15226,0.80392,0.43763,1.31178,0.86832,0.82422,0.83858,0.53127,0.97232,0.50628,1.20247,0.0001684,0.0001684,0.0001684
44,15426.1,0.79375,0.4285,1.30396,0.8502,0.8399,0.83661,0.53084,0.97531,0.50504,1.20228,0.0001486,0.0001486,0.0001486
45,15631.2,0.7824,0.42171,1.29388,0.85537,0.82814,0.84004,0.53644,0.97593,0.50357,1.20326,0.0001288,0.0001288,0.0001288
46,15830.9,0.7735,0.41522,1.29002,0.86464,0.83877,0.85101,0.54115,0.97456,0.50577,1.20425,0.000109,0.000109,0.000109
47,16032.4,0.76716,0.40793,1.27947,0.88174,0.83373,0.84919,0.53896,0.974,0.50022,1.20693,8.92e-05,8.92e-05,8.92e-05
48,16232.3,0.75861,0.40172,1.27018,0.86139,0.8384,0.84548,0.53744,0.97382,0.49346,1.20612,6.94e-05,6.94e-05,6.94e-05
49,16424.8,0.74781,0.39932,1.26478,0.86688,0.83992,0.8487,0.53827,0.9783,0.49444,1.20932,4.96e-05,4.96e-05,4.96e-05
50,16625.7,0.74593,0.39458,1.26513,0.87898,0.83935,0.85087,0.54018,0.97013,0.49536,1.20223,2.98e-05,2.98e-05,2.98e-05
